,protein,RNA,Replicate,Bmax,KD,KD_95CI,Hill coefficient,rsquare,DG,DDG
0,FUS,E1,1,0.8329249281323023,67.48103734193039,27.044551487729237,1.1271851265345623,0.9780806811090302,9.782767378445758,-1.342886321741089
1,FUS,E1,2,0.6517925613565563,119.77441929850889,78.38876789187685,1.0288542606626716,0.9671113992335316,9.442821137426444,-1.0029400807217748
2,FUS,E1,3,0.6907201069012265,72.73814214673094,34.73935839883608,1.0000000000000222,0.968182164976849,9.738319591171685,-1.2984385344670155
3,FUS,E1,4,0.8291015693067761,48.05084094892174,10.632502163520407,1.0000000000000222,0.9923434800249723,9.983967561119123,-1.5440865044144534
4,FUS,E1,5,0.8286832283038214,35.86981712863066,10.135158274859922,1.0000000000000222,0.9878327975612995,10.157188501204233,-1.7173074444995642
5,FUS,E1,6,0.7988642228747417,45.51403262328824,9.071365952980472,1.0000000000000222,0.993835106585824,10.016103322143247,-1.5762222654385774
6,FUS,C1,1,0.9452277405598292,876.8488537635836,250.85338545990282,1.315546988914505,0.9979301432661914,8.263346833094424,0.17653422361024518
7,FUS,C1,2,0.9999999999981444,1092.9067440658623,114.91869752851778,1.205827344615878,0.9907882173806143,8.132845191231702,0.307035865472967
8,FUS,C1,4,0.8855120111646472,393.71226503569386,74.67073343847125,1.5837563703569049,0.997269775515005,8.7377579943048,-0.29787693760013134
9,FUS,C1,5,0.9999999999956545,488.1844963822609,69.08236245137675,1.2257378504343857,0.9930171938022824,8.610330449064842,-0.17044939236017242
10,FUS,C1,6,0.999999999983346,640.5221948723664,280.5993687509381,1.1526594856610208,0.9109101298567845,8.449417240935947,-0.009536184231278
11,FUS,C2,2,0.9988851041963792,1197.1895084611024,645.2506433427989,1.0441739621910977,0.9975696787266156,8.078848572271893,0.36103248443277636
12,FUS,C2,3,0.9965375736075985,1109.9040406801664,808.3961269209423,1.0786720996160641,0.9946899100211101,8.123701562215773,0.31617949448889604
13,FUS,C2,4,0.8217729653042882,389.0451447939387,96.67571450430239,1.995464427444979,0.991738166314539,8.744823353854573,-0.3049422971499034
14,FUS,C2,5,0.989693048363422,505.6867568872045,367.1496599974567,1.202732231221745,0.9837942323385755,8.589460747763594,-0.14957969105892488
15,FUS,C2,6,0.9433135104161485,650.9149624890656,175.1653054748473,1.7773910214270412,0.9946336257379009,8.43988105670467,0.0
16,FUS,C3,1,0.9970139272672611,870.7914176590377,562.8537186984578,1.07083387737905,0.994379646261165,8.26745403313625,0.1724270235684191
17,FUS,C3,2,0.8641700209704669,428.72524214246636,193.2262266391433,1.1543790405603458,0.9927171769687821,8.687280704698361,-0.24739964799369218
18,FUS,C3,3,0.9509859372789049,869.3279418663866,674.5560482694616,1.0799294812144256,0.9916309239253064,8.268450617170679,0.1714304395339905
19,FUS,E2,2,0.9079049722103097,470.40785400188867,264.04917749007024,1.0000000000000222,0.9674870617688129,8.63230767572094,-0.19242661901627045
20,FUS,E2,3,0.9079694774572837,534.6909242668443,338.60446488112007,1.0000000000000229,0.9605870203799608,8.55641700405261,-0.11653594734794126
21,FUS,E2,4,0.8794134452158137,171.1465522023933,79.01031518734682,1.0000000000000222,0.9704837100443036,9.23135728342749,-0.7914762267228213
22,FUS,E2,5,0.8211267079391242,98.05006047455237,89.92163793259023,1.0000000000000222,0.8746204622562299,9.561396314688885,-1.1215152579842158
23,FUS,E2,6,0.8733748657034222,193.70716167944283,118.11266043908078,1.0000000000000222,0.953297350511037,9.1579914582503,-0.7181104015456317
24,FUS,E2,7,0.9518615007575327,185.1460534075458,72.349622464874,1.0000000000000222,0.9796544576687339,9.184773289580946,-0.7448922328762766
25,FUS,E2,8,0.9227565218267244,116.42459320575796,85.71760002360287,1.0000000000000222,0.9215233371086362,9.459627766759953,-1.0197467100552835
26,FUS,E2,9,0.8855751483896345,133.77811929186558,59.88030554707177,1.0000000000000222,0.971260362796713,9.377308614942804,-0.9374275582381344
27,FUS,E3,1,0.8825140219953171,105.87544420541913,22.10675808062048,1.0000000000000224,0.9935858661942908,9.515902251703105,-1.076021194998436
28,FUS,E3,2,0.9186644461234711,162.70356044622548,42.71865595077287,1.0000000164793519,0.996381257028642,9.261331288047586,-0.8214502313429168
29,FUS,E3,3,0.9055859822110462,144.34752324661142,83.15404383707696,1.0000000000001104,0.9564422385443045,9.332255380015397,-0.8923743233107277
30,FUS,E1_BH,1,0.8608967645017134,67.47355151796526,17.9676958086024,1.0131651044556071,0.9929601162770003,9.78283310778594,-1.3429520510812711
31,FUS,E1_BH,2,0.839141895547677,76.36399125834821,8.947444997110708,1.2918529709409183,0.9979441548831031,9.709497942616766,-1.2696168859120966
32,FUS,E1_BH,3,0.8275094351278671,68.14701358466233,15.128900666462883,1.074064246541827,0.9944589832668729,9.776948758045245,-1.337067701340576
33,FUS,E1_BL,1,0.9362529653529515,358.2169216163615,138.65996569618292,1.2079670296070146,0.9931787643505667,8.79373693307595,-0.3538558763712807
34,FUS,E1_BL,2,0.9651896278257543,349.63140860662145,133.57430951781674,1.1802654433791009,0.9945616094375833,8.808110172351734,-0.36822911564706473
35,FUS,E1_BL,3,0.8642443832937422,247.15403998148605,65.02763535663266,1.4023961750599783,0.9937577622459998,9.013624061421188,-0.5737430047165191
0,NONO,E1,1,0.8636510752815367,523.8469299905837,42.816944897909536,3.0196966897796873,0.9983907707693137,8.56855663259341,-0.12867557588874057
1,NONO,E1,2,0.8288979828376649,619.5310794137304,78.20446898932573,2.542015006721391,0.9971802001683283,8.46915937553861,-0.029278318833940276
2,NONO,E1,3,0.894273276174198,654.9414796204436,487.98006629226865,2.5057072927482924,0.8649535154451398,8.436227273204771,0.003653783499897756
3,NONO,C1,1,0.3294334120812551,800.9091756400243,472.64801940971745,5.241597451622805,0.9160024341946663,8.31701831520677,0.12286274149789911
4,NONO,C1,3,0.35213187426542225,843.1282396353323,181.99076959263573,4.329568878172192,0.9618178997260033,8.286581464277612,0.15329959242705726
5,NONO,C2,1,0.6654658058166214,938.5790517501972,140.43729532536565,3.889449222110377,0.994136819249612,8.223038629426433,0.21684242727823566
6,NONO,C2,2,0.6947799791095923,723.2811972632983,339.0391456687685,2.092337648251408,0.9653865793671855,8.377421844285378,0.06245921241929153
7,NONO,C2,3,0.8282007817069372,863.955282041637,140.8437308927256,2.28096484398715,0.9965824669356899,8.27212368137299,0.16775737533167856
8,NONO,C3,2,0.22011529766731522,628.1521072376983,461.65823338267694,2.9364803386949987,0.8819486009147399,8.460971542951956,-0.021090486247286933
9,NONO,E2,3,0.36680768307274547,684.5709711173171,258.026896481958,3.1070712760551156,0.9622277004041332,8.410011926416901,0.02986913028776783
0,SFPQ,E1,1,0.986947481414439,127.7672580973586,25.19727822127892,1.0372334956732336,0.9989443707664523,9.404546504087957,-0.9646654473832879
1,SFPQ,E1,2,0.9999999504929097,164.92248097631258,47.87478002181416,1.0704605133333704,0.9981222594714728,9.253305692067192,-0.813424635362523
2,SFPQ,E1,3,0.9999999996161364,153.86511398469483,24.498680266457853,1.0370387119875282,0.991908400935105,9.294423682981394,-0.8545426262767251
3,SFPQ,C1,1,0.8867680069450324,169.2401478036587,25.197625460489718,1.3503293902907183,0.9988917479300133,9.237994015853795,-0.7981129591491261
4,SFPQ,C1,2,0.9078511262642399,333.6674955531282,319.0252274084535,1.2540330491546228,0.9855781640561487,8.835799664072695,-0.3959186073680261
5,SFPQ,C1,3,0.8971594395613237,210.57702238595783,55.980566213182016,1.3800801032143477,0.9971230890298869,9.10851662730578,-0.6686355706011113
6,SFPQ,C2,1,0.9999999059521211,274.6453595106049,115.19850182938995,1.3403042419401838,0.9954081358760617,8.95113533869576,-0.511254281991091
7,SFPQ,C2,2,0.9211788688235858,304.37800163985963,206.93650546019902,1.2479373653367902,0.9919792119878539,8.890233993316349,-0.4503529366116794
8,SFPQ,C2,3,0.8745021604443074,121.10072200353146,10.568419612825139,1.7253633892876306,0.9989031151742951,9.436296409894645,-0.9964153531899758
9,SFPQ,C3,1,0.34892759100472714,148.49291686465315,126.73417263297405,1.8119834915549058,0.9070902876880163,9.315480050734983,-0.8755989940303142
10,SFPQ,C3,2,0.903086394062092,146.12494002405904,18.77820179075441,1.7904192795498028,0.9978807011801708,9.32500439434858,-0.8851233376439112
11,SFPQ,C3,3,0.6615792113460205,153.28208742432537,29.589061452737113,2.252438273539956,0.992625992789225,9.296672994553198,-0.8567919378485289
12,SFPQ,E2,1,0.32563134460735704,129.31636175846455,95.5444865617106,1.967955166585831,0.9119176300782361,9.397406168084936,-0.9575251113802672
0,TDP-43,C2,1,0.22041119615475144,718.857540859422,63.098002481701656,2.174288699262907,0.999767374274386,8.381056665253755,0.05882439145091389
1,TDP-43,C2,2,0.2028461125061716,565.4301751920491,377.5118077844665,1.5657844299070802,0.9758477306815064,8.523298312822098,-0.08341725611742845
2,TDP-43,E3,1,0.7398414075000503,161.08963537009737,146.07206759174358,1.319459339381745,0.9137131536783082,9.267237738516911,-0.8273566818122422
3,TDP-43,E3,2,0.7664421613099413,66.61801235600085,31.79478677520561,1.0000000000000222,0.9654804085713574,9.790393627494218,-1.3505125707895491
4,TDP-43,E3,3,0.8252544246011155,222.27725858175347,107.8877555599584,1.250472784806555,0.9805418921180588,9.076478580201542,-0.6365975234968726
