,A_grn,tau_grn,NF_ratio,A_red,tau_red
0,0.3250837933273102,4.045270101072075,0,,
1,0.3045895751894596,5.342242309009421,0,,
2,0.49349634596088826,5.1671642258255925,0,,
3,0.30995332213210935,6.238054164815441,0,,
4,0.34759399273214564,4.954676878155761,0,,
5,0.3144451473361389,5.82848716313185,0,,
6,0.2915241313654647,3.5653625186006095,0,,
7,0.3602566729908004,4.560941699215649,0,,
8,0.31318731045859044,4.379500084452182,0,,
9,0.2612870593904213,4.916916604835545,0,,
10,0.3728423181821762,3.987016057537524,0,,
11,0.30488721849780714,4.869951514129319,0,,
12,0.3243607174311458,3.0298515986461814,0,,
13,0.3280166808203119,5.0066349061868936,0,,
14,0.3471365621932714,3.854304815770801,0,,
15,0.2863600381889934,2.943613485226871,0,,
16,0.411007528599553,3.115156488009943,0,,
17,0.2557690397422148,7.12249308727692,0,,
18,0.48997919876533497,6.00947431691817,0,,
19,0.423798572113921,3.6117342866601465,0,,
20,0.408554195867149,5.8155245822448975,0,,
21,0.37352482785487107,5.856940156773314,0,,
22,0.415839537701013,5.314289700236863,0,,
23,0.24172457297413794,5.967896729822241,0,,
0,0.8954484327961832,37.78728066555655,3,1.4706236690430157,1064.6430251930742
1,0.6410729424531986,18.21276910075791,3,0.5849558178733986,229.81507921669512
2,0.376895248100089,15.831334377605524,3,0.891729502749297,1064.6716215904698
3,0.44655165848872613,19.030405590661385,3,0.7067430947587703,1064.6736359680037
4,0.38149359034031854,10.5667359248588,3,0.11866226041374255,20.813043937735028
5,0.7318771396287744,24.590804159221022,3,1.1612773808662664,1064.6709757064602
6,0.49032941649692063,9.81409140884309,3,0.5377697776782739,327.0258962250996
7,0.5345834790129302,31.43237474664059,3,0.8068251218342558,1064.673706692338
8,0.6556395100012162,38.12432211736984,3,0.6673663672474294,1064.6721685966963
9,0.5511240066185549,15.178614516581131,3,0.5489263207171512,1064.6712853357055
10,0.4571833930612615,16.295392249565168,3,0.6273538915712646,1064.671566345849
11,0.46334445520974293,17.434257698846647,3,0.2042513144558587,94.61614317934618
12,0.5167591009949979,16.241766160038853,3,0.6872073791191716,1064.6499921599054
13,0.5026080106277335,15.483370434764613,3,0.7711739051076231,1064.6734584719973
14,0.4369655690234907,11.981401883390047,3,0.8134011364468569,1064.6726785844314
15,0.4727788470127678,11.098842433492473,3,0.6168019432502704,1064.6735979247221
16,0.46504291447038776,14.870210585218572,3,0.5101336744050128,305.1068559871428
17,0.37777397097735,9.613547502928505,3,0.2160320417086707,52.016208306910634
18,0.4798547852632765,11.229182209853231,3,0.8486883396771779,1064.6712617280286
19,0.45031222247961744,9.233307523662463,3,0.12271338707868225,1.441635543349298
20,0.512103102519053,28.576533641106767,3,0.7763125530409294,1064.6656842563063
21,0.42566975774775334,12.745918710798097,3,0.7686347955454382,1064.6722035790176
22,0.5065000258843628,16.538435226520164,3,0.5111937541702416,1064.6661062036983
23,0.3401234064831253,9.991826351510495,3,0.17078620536494965,53.45946587091822
24,0.5161187630572993,21.738165918611763,3,0.616835151007457,1064.6659083947027
